FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 370, 'match': 'attachments/3d-viewer/openmodelpopup-listview.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/openmodelpopup-listview.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/openmodelpopup-listview.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 380, 'match': 'attachments/3d-viewer/homepage-pageobject.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/homepage-pageobject.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/homepage-pageobject.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 384, 'match': 'attachments/3d-viewer/openmodelpopup-pageobject.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/openmodelpopup-pageobject.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/openmodelpopup-pageobject.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 388, 'match': 'attachments/3d-viewer/openselectedmodel-nanoflow.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/openselectedmodel-nanoflow.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/openselectedmodel-nanoflow.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 392, 'match': 'attachments/3d-viewer/openmodellistpopup-demo.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/openmodellistpopup-demo.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/openmodellistpopup-demo.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 404, 'match': 'attachments/3d-viewer/deletemodel-nanoflow.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/deletemodel-nanoflow.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/deletemodel-nanoflow.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 423, 'match': 'attachments/3d-viewer/viewer-onselectionchange-result.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/viewer-onselectionchange-result.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/viewer-onselectionchange-result.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 427, 'match': 'attachments/3d-viewer/viewer-onselect-sample.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/viewer-onselect-sample.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/viewer-onselect-sample.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 435, 'match': 'attachments/3d-viewer/viewerevent-onerror.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/viewerevent-onerror.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/viewerevent-onerror.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 439, 'match': 'attachments/3d-viewer/viewer-onerror-sample.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/viewer-onerror-sample.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/viewer-onerror-sample.jpg'}
